                Game of the Rope - Description of the internal state
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
TRY  ASTM SIP  9 SAB 10 SIP  6 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 2 0 -  -
TRY  WATL SIP  9 SAB 10 SIP  6 SAB  9 SIP 10  ASTM SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 2 0 -  -
TRY  WATL SIP  9 SAB 10 SIP  6 SAB  9 SIP 10  WATL SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 2 0 -  -
TRY  WATL SIP  9 SAB 10 SIP  6 SAB  9 SIP 10  WATL SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 2 0 -  -
WTC  WATL SIP  9 SAB 10 SIP  6 SAB  9 SIP 10  WATL SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 2 0 4  3
WTC  WATL SIP  9 SAB 10 DYB  6 SAB  9 SIP 10  WATL SIP  8 SAB  9 SIP  9 SAB  9 SIP 10 5 9 7 . 4 2 0 4  3
WTC  WATL SIP  9 SAB 10 DYB  6 SAB  9 SIP 10  WATL SIP  8 SAB  9 DYB  9 SAB  9 SIP 10 5 9 7 . 4 2 0 4  3
WTC  WATL SIP  9 SAB 10 DYB  6 SAB  9 SIP 10  WATL SIP  8 SAB  9 DYB  9 SAB  9 DYB 10 5 9 7 . 4 2 0 4  3
WTC  WATL SIP  9 SAB 10 DYB  6 SAB  9 DYB 10  WATL SIP  8 SAB  9 DYB  9 SAB  9 DYB 10 5 9 7 . 4 2 0 4  3
WTC  WATL SIP  9 SAB 10 DYB  6 SAB  9 DYB 10  WATL DYB  8 SAB  9 DYB  9 SAB  9 DYB 10 5 9 7 . 4 2 0 4  3
WTC  WATL DYB  9 SAB 10 DYB  6 SAB  9 DYB 10  WATL DYB  8 SAB  9 DYB  9 SAB  9 DYB 10 5 9 7 . 4 2 0 4  3
WTC  WATL DYB  9 SAB 10 DYB  6 SAB  9 DYB 10  WATL DYB  8 SAB  9 DYB  9 SAB  9 DYB 10 5 9 7 . 4 2 0 4  5
